team,位置,球员名,出场,时间,进球,助攻,射门,射正,射正率,黄牌,红牌,犯规,被犯,越位,扑救,matches_count,lastest_match_date,control_rate,cornerkick
科隆,{},nan,nan,nan,6.0,5.0,98.0,20.0,2.2100000000000004,17.0,1.0,141.0,134.0,13.0,40.0,10,2018-01-21,0.41,39
门兴,{},nan,nan,nan,15.0,7.0,126.0,50.0,4.28,15.0,0.0,124.0,111.0,19.0,34.0,10,2018-01-27,0.48599999999999993,29
法兰克福,{},nan,nan,nan,13.0,10.0,104.0,42.0,4.3999999999999995,23.0,0.0,194.0,130.0,25.0,34.0,10,2018-01-20,0.406,43
霍芬海姆,{},nan,nan,nan,9.0,8.0,98.0,36.0,3.05,22.0,0.0,135.0,100.0,13.0,24.0,8,2018-01-13,0.535,34
奥格斯堡,{},nan,nan,nan,11.0,7.0,107.0,31.0,2.3800000000000003,12.0,0.0,111.0,94.0,12.0,31.0,8,2018-01-20,0.45125,31
美因茨,{},nan,nan,nan,8.0,6.0,89.0,37.0,3.2800000000000002,17.0,0.0,135.0,102.0,17.0,36.0,8,2018-01-13,0.45875,40
多特蒙德,{},nan,nan,nan,16.0,11.0,135.0,48.0,3.4099999999999997,8.0,1.0,109.0,122.0,11.0,25.0,9,2018-01-20,0.6566666666666667,45
不莱梅,{},nan,nan,nan,6.0,3.0,100.0,36.0,3.6,16.0,0.0,162.0,112.0,21.0,44.0,10,2018-01-21,0.43800000000000006,54
汉堡,{},nan,nan,nan,7.0,3.0,83.0,27.0,2.69,13.0,1.0,125.0,97.0,12.0,20.0,8,2018-01-13,0.45375000000000004,33
勒沃库森,{},nan,nan,nan,21.0,20.0,140.0,50.0,3.67,17.0,0.0,157.0,137.0,12.0,31.0,10,2018-01-20,0.53,38
沙尔克04,{},nan,nan,nan,11.0,9.0,105.0,42.0,3.67,20.0,0.0,153.0,144.0,20.0,20.0,9,2018-01-14,0.5333333333333333,37
RB莱比锡,{},nan,nan,nan,9.0,8.0,113.0,39.0,3.0100000000000002,12.0,2.0,120.0,109.0,25.0,29.0,8,2018-01-20,0.5774999999999999,42
斯图加特,{},nan,nan,nan,6.0,3.0,100.0,33.0,3.6,16.0,1.0,146.0,123.0,23.0,36.0,10,2018-01-20,0.48999999999999994,36
弗赖堡,{},nan,nan,nan,10.0,8.0,84.0,35.0,3.44,11.0,2.0,113.0,96.0,8.0,42.0,9,2018-01-13,0.41333333333333333,30
汉诺威96,{},nan,nan,nan,10.0,7.0,117.0,40.0,3.5199999999999996,24.0,0.0,145.0,137.0,13.0,47.0,10,2018-01-22,0.462,32
柏林赫塔,{},nan,nan,nan,11.0,7.0,79.0,35.0,4.01,15.0,2.0,128.0,128.0,12.0,33.0,9,2018-01-13,0.42666666666666664,22
拜仁,{},nan,nan,nan,17.0,13.0,168.0,58.0,3.55,17.0,0.0,118.0,128.0,20.0,20.0,10,2018-01-13,0.634,60
沃尔夫斯堡,{},nan,nan,nan,7.0,6.0,66.0,25.0,3.37,17.0,1.0,127.0,113.0,11.0,39.0,9,2018-01-15,0.49666666666666676,26
